old                                      new
01c8daa2611652981d0276a81cfcc77f51bedf37 f336ecd6d081df5d28c9b1fb0935ab98c07062a2
027f0c459fa3333fdc759b9a2c9108872c4a4984 4462e56f97293f581993d855f5036def134bf5e7
04c5f7c951e8eaee260756d77f221e00bc1fe283 902db24dd56ed84a83eb0bde448f20c2069e6c1a
05c770730721e8fc523042ab9eb3a6541bcf7c97 8caea18fa11835f04e77f1c79846989b4515fbf5
0618c95332ccce142ff7534879e1950b4336caac a62cff25729349e7c283296bb3f2a798ab2885a7
066064509edc9a2d902267b4901a28b3952f3c62 1a3c525ede780c2edbb7d0cfa3a014a73de0e927
090127e021068be1082fccef2632f59688f41148 4a8f15ff82d853c54900923f04f155013d27f718
0ae187e8bfb451e2b8042af6ebead4d47d8b3015 a7214b680462add68d38041a50a404122eb68471
0c25db54708f8d48cdff120e004154f19eebf370 78015d307e0d269e61b7a9318deb7731ee375654
0c5c4b2d260980c6c712bbc30f97afc0c9c07f08 a274ca55e0102b741ce0a217b0aa128c1e303d59
1048bd52398749a59bc5e95e2d64087c492dbc45 19c0aad26c1e98e496608b542736653335b720ae
10ed8f80432888859037901b806ff37c83ed79a1 b26a916d67c4ce63e296bc251b6f2232f558b2fb
11ce28bd72e81e07bb2d2edc7d41baf14887f40c 5eef971b7e0f0a0ac62d42680c0316be32b6b81f
13541bf7d63b98cab3f5107899b115b320a3b086 029c118116803217823752dfd4ba6586cbd130ee
141640d147a6d02597d07e868c8a812995917c81 25e7b23944de5f3ce122c9e2247c6b4cd730208e
14bba815d7972473abd02d2efb7083e952394f44 3047f5bf2d9626625ccd7f28b470cb220d3d4f6b
1618bfd89bd8a7b54198796ef8a118174a3bfb23 71aef38df754718b0b5cbce957bc71de316e1912
1687dc17756a01ee27ac4a0e580660754ecd0089 5ad7e74e4b34956e3cd1f28b99a3c1999dc6947e
182e70fe96e37397d03633a6469bcfe0ecc95fda 3574b49792b507be2f95ebd2680cb645656e2b3c
1be5b35d82c0d77949ac8cd9fef527e62c107ede 882d3759cbc3b091c21a21b583735c187ef2f2ab
1bf3e21943fe023ec47069b71c913274fa8ba1fc 7701dd84cccf326e05600d55071a599b2813a8b4
1c8be006b1d46adea3f198891d48cc89b4053b3c 676d9ffdf96e4bc4e6ddf74b3a0f34c74393c853
208254fe58007a3de9e66ddca612d54dda489aab d68900f8f7bc293f944ae5d26e59543e32e59e96
20a2dc84f6b1e09f95e4f3aa985d6a5b33133e01 d65ee1bbdedc09443df59aaf84586762f2bec9cb
21c9630f9b21996216f0e70af5a4e7b981fcd1f5 3c6498a50882f59ccaa2090974517dd95797d578
2238783119ea62614d93af91d9abde189b14f84b 1c3f64e088ebfc92b832bda4c11ae85407e5a5d7
23630edd9a9d4f9681b35a973cac39bc701b9f08 e8e21e897aaac1265798077a0255e54fc92c88ed
24850d0f4c14de586631c11b3e1b5cf8e83a45ce eb0a0d55b2b8335b7c5ff8e1d4b82eeb9b8e8bb5
24bfe32c83d452b57b32c1bb38f1f8e148a34c84 e97cfb8b764356e6a6e204ddb6001bf3769afc53
25f2faaf085f944ed448cd011980605f9dd5a5df 2ae3de6f2c46b2276b7ccb2c7571201fb58fc790
276ce026a228a802875d931ba571e4635123a192 e196fb6948515d7c3b12b868c23e859e129f794e
2781e3223a31f62828501b44a53cf56a1dcd8b2a f8ec7fc05209e395014e45b1af98f60f6da1728c
284165f2608ff8e3c6ba611d289376ed94c842f7 4330ef4105cec5aab69256c31384a049f6bf41b8
2b9a8285ac83c49acb53d387088b7f863d288816 59115ab9d51133bc459b436148c424480fb36d1d
2bddca34da12eba369daa03544fffec5343c243e b7a5470929fcd6663e400abe2326ed8a4e277021
2c75c220b9546be1347b8eb88605a5011e801010 1bc35e2a7b0e25c928b29a40bc75526619c529f5
2ef34fd8cc9a09a76b725825a496f7c5e549662a b676779bee627c43db27cd8d2682160af82d6759
2f6b8524d55b612b4965fe1ab1b90f353c35684d c3084dbcfaafeafd3a5b78dd9a5f991b947b6f80
35c66819a4cc492557a5cc1aed410107aeb35524 7c73922a7123b273779efbed260f87f78db90c9e
3684fc384fae6be754bac8d9709b2304f36636ad a3b87f81527e9f735d40ddd4e9f67e9e59eca9e8
38e2dce81241f79e65a495f8300d03ba2f94c198 425cdcf856aa0f3271760bbaf2b709d98d703416
39722148b3f88756b96fa5932244420890e5ad5c b9daf3ff9f01d0c066df5055dfb0c84163942c4d
39e44708cd889c20ccc07c076181eca069e7a36f f3d3cada45db766fe4fa0e6d79d6c5a11ac4597d
3a01e128f7722a5ffe4c7183f6de8fb37f3c4db7 ea24a889c772d0adf0c12eb189430a69c794e247
3b5e32d0da1e18cf35ac7e705d63b552c1470f1c 1d78a2077740f6aa853f04eee9615f318845c83f
3c672a6e39fc600c6d9bf8bb5544a35be9a0fcd0 21a80631b798e09bf90b42264dc33d0c4570d01a
3f1cb4f4f95d50ab116c2475d206982b490ecb10 5c0d0a3cd51a9d87091116abb730cb796374562a
3fcf57f4f33e24130647cd98124268694525cc1d 24f777e86660da897b9ee538ca1854959badca2a
40a9835c37ca52f41c008f5d348b4fc902af062d 5ac0d817f49aabe41f3d1013a561216b98641e39
40de324b3c5eca170000b2e5c508baff97b5c1dd 6fe866913483a8d32fa570f0caa827101e6df683
42ad0f083eedd5ab46cbbb6e0d144ef9482f5547 cf0d47438757ccaf39443fe75e6cc458ff96e3b4
43d746ac59c74960daa4072bbf27998564698078 aafe7a7eddfb8f3b58449122f7fe7206a0dc8bc6
453fcc804dfb70e60b4c7ffe7003f609a6617e66 5ba8250d52769ccde11eee1bc5da313174d40523
4644a11c192637e6132c17771b9d5946c1d0472e 3d5c338bd48665574541c7269edd25d277a96384
467a4b5328a34ea61b9359a564ff4d9cebbe7b5d 1b0eeaf4d3600c112f3f20de68f681ebc2a6037d
46b3cd436ff47c6a396a4b34a734a84b12c718b3 7caad5bad47f53ea8baaa4dbd0bc76e8197f93c8
4897407666b14be9876cd266504e07562e7a064f 7d0828ca8b5b6a3121b52341d7535e06dd72db1a
49953a94f1a31072d78f99469390b489306fcbc7 a7541c75528c56afddc4f7ed137849538dc83365
4cdd817fb8fe7f832bc45613efdc255746acb6eb b6afb73be1c3b6b403c42a445520390223c84c5e
4ce22888b982e125cc96845c92a1dec80e1177fc e7a88280d522a3dc4b7385c0b29631703fcd2530
4d27e11c7c8d25260f4aafaab7a97dabf727af16 01b527d3dba050a36a3c6e13d942fd36d14bbc69
4dc223caaec4c6501666df57e0bbf7b17973b3b3 ec1c503dc2308cba70f2fcb24fea244abdae9cc2
4e0733a4b2709fa887696f168f38fb1b008b35a0 3029585aa9fcd203ccecfedc4580b2040018e792
4e87e399508ea00bfcddaac5928eaad07e0390d1 d7940351aabed5c2f516a439ac9fa181579f7554
4f4e3f3029779bdf9f6cad7432eb1c22a2b4a9f1 0ca1eb8af8b1b82f0f8c0f781cc2b8a08fb2ea25
